Customer_Id,Industry,Financial_Needs,Preferences,Revenue (in dollars),No of Employees
ORG_US_352,Real Estate,Supply Chain Financing,Ethical Sourcing,500M-1B,1000-5000
ORG_US_353,Real Estate,Payment Processing,Employee Benefits,50M-100M,100-500
ORG_US_354,Education,Business Loans,Ethical Sourcing,10M-50M,100-500
ORG_US_355,Healthcare,Business Loans,Ethical Sourcing,50M-100M,100-500
ORG_US_356,Finance,Payment Processing,Digital Payments,50M-100M,1000-5000
ORG_US_357,Finance,Supply Chain Financing,Employee Benefits,500M-1B,500-1000
ORG_US_358,Education,Payment Processing,Employee Benefits,100M-500M,100-500
ORG_US_359,Real Estate,Payment Processing,Ethical Sourcing,100M-500M,500-1000
ORG_US_360,Healthcare,Supply Chain Financing,Digital Payments,10M-50M,1000-5000
ORG_US_361,Real Estate,Investment Funds,Cloud Services,10M-50M,500-1000
ORG_US_362,Healthcare,Investment Funds,Digital Payments,500M-1B,1000-5000
ORG_US_363,Manufacturing,Supply Chain Financing,Cloud Services,10M-50M,100-500
ORG_US_364,Healthcare,Supply Chain Financing,Digital Payments,50M-100M,100-500
ORG_US_365,IT Services,Business Loans,Ethical Sourcing,50M-100M,1000-5000
ORG_US_366,Education,Investment Funds,Employee Benefits,100M-500M,500-1000
ORG_US_367,Healthcare,Supply Chain Financing,Digital Payments,10M-50M,500-1000
ORG_US_368,Retail,Investment Funds,Digital Payments,100M-500M,500-1000
ORG_US_369,Manufacturing,Supply Chain Financing,Cloud Services,500M-1B,1000-5000
ORG_US_370,Education,Supply Chain Financing,Cloud Services,10M-50M,100-500
ORG_US_371,Real Estate,Supply Chain Financing,Digital Payments,100M-500M,500-1000
ORG_US_372,Real Estate,Investment Funds,Digital Payments,500M-1B,500-1000
ORG_US_373,Retail,Payment Processing,Ethical Sourcing,50M-100M,1000-5000
ORG_US_374,IT Services,Business Loans,Digital Payments,500M-1B,100-500
ORG_US_375,Education,Supply Chain Financing,Employee Benefits,50M-100M,100-500
ORG_US_376,IT Services,Business Loans,Digital Payments,50M-100M,500-1000
ORG_US_377,Education,Investment Funds,Employee Benefits,50M-100M,100-500
ORG_US_378,Finance,Payment Processing,Employee Benefits,100M-500M,100-500
ORG_US_379,Finance,Supply Chain Financing,Digital Payments,500M-1B,1000-5000
ORG_US_380,Real Estate,Investment Funds,Cloud Services,500M-1B,1000-5000
ORG_US_381,IT Services,Business Loans,Ethical Sourcing,500M-1B,100-500
ORG_US_382,Healthcare,Supply Chain Financing,Ethical Sourcing,500M-1B,100-500
ORG_US_383,Healthcare,Supply Chain Financing,Digital Payments,50M-100M,100-500
ORG_US_384,Manufacturing,Supply Chain Financing,Cloud Services,10M-50M,1000-5000
ORG_US_385,Finance,Business Loans,Digital Payments,10M-50M,1000-5000
ORG_US_386,Real Estate,Investment Funds,Cloud Services,500M-1B,500-1000
ORG_US_387,Healthcare,Supply Chain Financing,Cloud Services,100M-500M,500-1000
ORG_US_388,Healthcare,Payment Processing,Digital Payments,50M-100M,1000-5000
ORG_US_389,Healthcare,Business Loans,Cloud Services,10M-50M,500-1000
ORG_US_390,Healthcare,Business Loans,Digital Payments,500M-1B,1000-5000
ORG_US_391,Healthcare,Payment Processing,Cloud Services,50M-100M,500-1000
ORG_US_392,IT Services,Payment Processing,Employee Benefits,500M-1B,100-500
ORG_US_393,Retail,Payment Processing,Cloud Services,100M-500M,1000-5000
ORG_US_394,Finance,Payment Processing,Employee Benefits,10M-50M,100-500
ORG_US_395,IT Services,Business Loans,Employee Benefits,100M-500M,1000-5000
ORG_US_396,Manufacturing,Investment Funds,Employee Benefits,10M-50M,100-500
ORG_US_397,Real Estate,Business Loans,Digital Payments,100M-500M,500-1000
ORG_US_398,Healthcare,Payment Processing,Employee Benefits,100M-500M,100-500
ORG_US_399,Real Estate,Business Loans,Ethical Sourcing,500M-1B,500-1000
ORG_US_400,IT Services,Supply Chain Financing,Ethical Sourcing,500M-1B,100-500
ORG_US_401,Education,Business Loans,Employee Benefits,100M-500M,1000-5000
ORG_US_402,Real Estate,Investment Funds,Ethical Sourcing,500M-1B,500-1000
ORG_US_403,Finance,Investment Funds,Cloud Services,500M-1B,1000-5000
ORG_US_404,IT Services,Investment Funds,Ethical Sourcing,500M-1B,1000-5000
ORG_US_405,Manufacturing,Supply Chain Financing,Cloud Services,50M-100M,500-1000
ORG_US_406,Real Estate,Payment Processing,Employee Benefits,100M-500M,500-1000
ORG_US_407,IT Services,Investment Funds,Digital Payments,500M-1B,500-1000
ORG_US_408,Healthcare,Payment Processing,Cloud Services,100M-500M,1000-5000
ORG_US_409,Retail,Business Loans,Cloud Services,100M-500M,1000-5000
ORG_US_410,Education,Payment Processing,Digital Payments,500M-1B,100-500
ORG_US_411,IT Services,Supply Chain Financing,Ethical Sourcing,100M-500M,500-1000
ORG_US_412,Real Estate,Payment Processing,Cloud Services,50M-100M,100-500
ORG_US_413,Real Estate,Investment Funds,Cloud Services,100M-500M,500-1000
ORG_US_414,Finance,Payment Processing,Ethical Sourcing,500M-1B,1000-5000
ORG_US_415,Manufacturing,Investment Funds,Employee Benefits,50M-100M,500-1000
ORG_US_416,Education,Investment Funds,Employee Benefits,10M-50M,100-500
ORG_US_417,Manufacturing,Supply Chain Financing,Ethical Sourcing,100M-500M,1000-5000
ORG_US_418,Healthcare,Supply Chain Financing,Cloud Services,50M-100M,1000-5000
ORG_US_419,Retail,Business Loans,Employee Benefits,100M-500M,1000-5000
ORG_US_420,Retail,Supply Chain Financing,Cloud Services,50M-100M,100-500
ORG_US_421,Healthcare,Payment Processing,Cloud Services,100M-500M,100-500
ORG_US_422,Real Estate,Payment Processing,Digital Payments,50M-100M,100-500
ORG_US_423,Healthcare,Payment Processing,Cloud Services,50M-100M,500-1000
ORG_US_424,IT Services,Business Loans,Digital Payments,500M-1B,500-1000
ORG_US_425,Healthcare,Investment Funds,Digital Payments,500M-1B,1000-5000
ORG_US_426,Finance,Investment Funds,Digital Payments,10M-50M,500-1000
ORG_US_427,Healthcare,Investment Funds,Employee Benefits,10M-50M,500-1000
ORG_US_428,IT Services,Payment Processing,Digital Payments,50M-100M,500-1000
ORG_US_429,Real Estate,Investment Funds,Ethical Sourcing,10M-50M,500-1000
ORG_US_430,Finance,Supply Chain Financing,Cloud Services,10M-50M,100-500
ORG_US_431,Education,Investment Funds,Digital Payments,10M-50M,1000-5000
ORG_US_432,Finance,Payment Processing,Ethical Sourcing,50M-100M,500-1000
ORG_US_433,Manufacturing,Payment Processing,Ethical Sourcing,500M-1B,1000-5000
ORG_US_434,Manufacturing,Investment Funds,Ethical Sourcing,50M-100M,100-500
ORG_US_435,Education,Investment Funds,Cloud Services,50M-100M,500-1000
ORG_US_436,Education,Business Loans,Cloud Services,500M-1B,1000-5000
ORG_US_437,Finance,Payment Processing,Cloud Services,50M-100M,100-500
ORG_US_438,Finance,Supply Chain Financing,Digital Payments,100M-500M,100-500
ORG_US_439,Manufacturing,Investment Funds,Digital Payments,500M-1B,1000-5000
ORG_US_440,Finance,Supply Chain Financing,Cloud Services,100M-500M,500-1000
ORG_US_441,Finance,Payment Processing,Cloud Services,10M-50M,1000-5000
ORG_US_442,Retail,Payment Processing,Digital Payments,10M-50M,500-1000
ORG_US_443,Finance,Investment Funds,Cloud Services,100M-500M,1000-5000
ORG_US_444,Finance,Investment Funds,Ethical Sourcing,500M-1B,100-500
ORG_US_445,Real Estate,Business Loans,Employee Benefits,500M-1B,500-1000
ORG_US_446,Retail,Investment Funds,Ethical Sourcing,10M-50M,100-500
ORG_US_447,IT Services,Payment Processing,Employee Benefits,50M-100M,100-500
ORG_US_448,IT Services,Supply Chain Financing,Employee Benefits,100M-500M,100-500
ORG_US_449,Finance,Investment Funds,Cloud Services,500M-1B,1000-5000
ORG_US_450,Finance,Business Loans,Employee Benefits,10M-50M,1000-5000
ORG_US_451,IT Services,Business Loans,Cloud Services,10M-50M,500-1000
ORG_US_452,Finance,Supply Chain Financing,Digital Payments,50M-100M,100-500
ORG_US_453,Education,Payment Processing,Ethical Sourcing,50M-100M,1000-5000
ORG_US_454,Retail,Investment Funds,Digital Payments,50M-100M,1000-5000
ORG_US_455,Finance,Payment Processing,Ethical Sourcing,100M-500M,100-500
ORG_US_456,Finance,Investment Funds,Cloud Services,100M-500M,500-1000
ORG_US_457,Retail,Business Loans,Ethical Sourcing,100M-500M,500-1000
ORG_US_458,Manufacturing,Supply Chain Financing,Employee Benefits,100M-500M,100-500
ORG_US_459,Healthcare,Business Loans,Cloud Services,10M-50M,1000-5000
ORG_US_460,Real Estate,Supply Chain Financing,Employee Benefits,50M-100M,1000-5000
ORG_US_461,Education,Investment Funds,Employee Benefits,50M-100M,1000-5000
ORG_US_462,Real Estate,Supply Chain Financing,Ethical Sourcing,500M-1B,500-1000
ORG_US_463,Retail,Business Loans,Cloud Services,50M-100M,100-500
ORG_US_464,Finance,Investment Funds,Cloud Services,500M-1B,500-1000
ORG_US_465,IT Services,Payment Processing,Digital Payments,10M-50M,1000-5000
ORG_US_466,Retail,Payment Processing,Digital Payments,50M-100M,500-1000
ORG_US_467,Retail,Business Loans,Digital Payments,10M-50M,1000-5000
ORG_US_468,Real Estate,Investment Funds,Digital Payments,50M-100M,100-500
ORG_US_469,Education,Supply Chain Financing,Ethical Sourcing,100M-500M,100-500
ORG_US_470,Healthcare,Investment Funds,Cloud Services,50M-100M,500-1000
ORG_US_471,Manufacturing,Business Loans,Digital Payments,50M-100M,100-500
ORG_US_472,Healthcare,Supply Chain Financing,Cloud Services,100M-500M,500-1000
ORG_US_473,IT Services,Supply Chain Financing,Digital Payments,50M-100M,100-500
ORG_US_474,Healthcare,Payment Processing,Digital Payments,10M-50M,100-500
ORG_US_475,Manufacturing,Payment Processing,Employee Benefits,50M-100M,1000-5000
ORG_US_476,Education,Payment Processing,Employee Benefits,10M-50M,1000-5000
ORG_US_477,Real Estate,Supply Chain Financing,Employee Benefits,100M-500M,100-500
ORG_US_478,Education,Payment Processing,Digital Payments,100M-500M,1000-5000
ORG_US_479,Finance,Business Loans,Ethical Sourcing,50M-100M,100-500
ORG_US_480,Education,Investment Funds,Ethical Sourcing,10M-50M,1000-5000
ORG_US_481,Real Estate,Supply Chain Financing,Digital Payments,100M-500M,500-1000
ORG_US_482,Education,Business Loans,Employee Benefits,100M-500M,1000-5000
ORG_US_483,Education,Business Loans,Ethical Sourcing,50M-100M,500-1000
ORG_US_484,Healthcare,Business Loans,Digital Payments,500M-1B,1000-5000
ORG_US_485,Healthcare,Supply Chain Financing,Ethical Sourcing,50M-100M,500-1000
ORG_US_486,Retail,Business Loans,Employee Benefits,10M-50M,100-500
ORG_US_487,Education,Supply Chain Financing,Cloud Services,10M-50M,500-1000
ORG_US_488,Finance,Payment Processing,Ethical Sourcing,100M-500M,1000-5000
ORG_US_489,IT Services,Payment Processing,Employee Benefits,500M-1B,100-500
ORG_US_490,Manufacturing,Business Loans,Digital Payments,100M-500M,100-500
ORG_US_491,Manufacturing,Payment Processing,Employee Benefits,10M-50M,500-1000
ORG_US_492,Education,Business Loans,Cloud Services,100M-500M,100-500
ORG_US_493,Education,Payment Processing,Employee Benefits,10M-50M,500-1000
ORG_US_494,Healthcare,Payment Processing,Cloud Services,10M-50M,1000-5000
ORG_US_495,Real Estate,Business Loans,Digital Payments,500M-1B,100-500
ORG_US_496,Education,Business Loans,Cloud Services,10M-50M,1000-5000
ORG_US_497,Real Estate,Investment Funds,Digital Payments,100M-500M,500-1000
ORG_US_498,IT Services,Supply Chain Financing,Digital Payments,10M-50M,500-1000
ORG_US_499,Real Estate,Supply Chain Financing,Employee Benefits,10M-50M,1000-5000
ORG_US_500,Retail,Supply Chain Financing,Digital Payments,10M-50M,1000-5000
ORG_US_501,Education,Supply Chain Financing,Digital Payments,500M-1B,500-1000
ORG_US_502,Retail,Business Loans,Ethical Sourcing,500M-1B,1000-5000
ORG_US_503,Manufacturing,Investment Funds,Digital Payments,500M-1B,1000-5000
ORG_US_504,Education,Payment Processing,Ethical Sourcing,10M-50M,500-1000
ORG_US_505,Finance,Business Loans,Digital Payments,10M-50M,1000-5000
ORG_US_506,Healthcare,Supply Chain Financing,Ethical Sourcing,50M-100M,1000-5000
ORG_US_507,Education,Supply Chain Financing,Ethical Sourcing,100M-500M,1000-5000
ORG_US_508,Real Estate,Payment Processing,Ethical Sourcing,500M-1B,100-500
ORG_US_509,Finance,Business Loans,Ethical Sourcing,50M-100M,100-500
ORG_US_510,Manufacturing,Payment Processing,Ethical Sourcing,100M-500M,100-500
ORG_US_511,IT Services,Supply Chain Financing,Ethical Sourcing,50M-100M,100-500
ORG_US_512,Education,Supply Chain Financing,Employee Benefits,500M-1B,100-500
ORG_US_513,Retail,Business Loans,Cloud Services,10M-50M,500-1000
ORG_US_514,Retail,Supply Chain Financing,Ethical Sourcing,50M-100M,500-1000
ORG_US_515,Education,Investment Funds,Employee Benefits,50M-100M,500-1000
ORG_US_516,Real Estate,Investment Funds,Ethical Sourcing,10M-50M,500-1000
ORG_US_517,Education,Payment Processing,Cloud Services,10M-50M,100-500
ORG_US_518,Real Estate,Payment Processing,Cloud Services,100M-500M,1000-5000
ORG_US_519,IT Services,Business Loans,Employee Benefits,100M-500M,500-1000
ORG_US_520,Real Estate,Investment Funds,Digital Payments,10M-50M,500-1000
ORG_US_521,Finance,Payment Processing,Employee Benefits,500M-1B,500-1000
ORG_US_522,Education,Payment Processing,Cloud Services,100M-500M,500-1000
ORG_US_523,Manufacturing,Investment Funds,Digital Payments,500M-1B,1000-5000
ORG_US_524,Education,Investment Funds,Digital Payments,10M-50M,1000-5000
ORG_US_525,Real Estate,Business Loans,Ethical Sourcing,500M-1B,500-1000
ORG_US_526,Finance,Investment Funds,Ethical Sourcing,100M-500M,1000-5000
ORG_US_527,Healthcare,Business Loans,Digital Payments,100M-500M,1000-5000
ORG_US_528,Real Estate,Investment Funds,Digital Payments,100M-500M,1000-5000
ORG_US_529,Finance,Investment Funds,Employee Benefits,500M-1B,500-1000
ORG_US_530,Real Estate,Business Loans,Employee Benefits,50M-100M,1000-5000
ORG_US_531,Finance,Business Loans,Ethical Sourcing,10M-50M,100-500
ORG_US_532,Finance,Business Loans,Employee Benefits,100M-500M,500-1000
ORG_US_533,IT Services,Supply Chain Financing,Digital Payments,10M-50M,1000-5000
ORG_US_534,Healthcare,Payment Processing,Digital Payments,100M-500M,100-500
ORG_US_535,Finance,Supply Chain Financing,Ethical Sourcing,50M-100M,1000-5000
ORG_US_536,IT Services,Supply Chain Financing,Cloud Services,100M-500M,500-1000
ORG_US_537,Healthcare,Investment Funds,Digital Payments,50M-100M,100-500
ORG_US_538,Manufacturing,Supply Chain Financing,Employee Benefits,50M-100M,500-1000
ORG_US_539,Real Estate,Investment Funds,Cloud Services,100M-500M,500-1000
ORG_US_540,Retail,Business Loans,Ethical Sourcing,100M-500M,500-1000
ORG_US_541,Real Estate,Payment Processing,Cloud Services,100M-500M,100-500
ORG_US_542,Finance,Supply Chain Financing,Ethical Sourcing,10M-50M,100-500
ORG_US_543,Real Estate,Investment Funds,Cloud Services,50M-100M,100-500
ORG_US_544,Retail,Payment Processing,Ethical Sourcing,500M-1B,500-1000
ORG_US_545,Education,Business Loans,Employee Benefits,100M-500M,500-1000
ORG_US_546,Education,Payment Processing,Ethical Sourcing,10M-50M,500-1000
ORG_US_547,Real Estate,Payment Processing,Employee Benefits,50M-100M,500-1000
ORG_US_548,Retail,Supply Chain Financing,Ethical Sourcing,500M-1B,100-500
ORG_US_549,Manufacturing,Supply Chain Financing,Employee Benefits,10M-50M,100-500
ORG_US_550,Retail,Payment Processing,Employee Benefits,10M-50M,1000-5000
ORG_US_551,Healthcare,Supply Chain Financing,Employee Benefits,50M-100M,100-500
ORG_US_552,Healthcare,Investment Funds,Cloud Services,100M-500M,100-500
ORG_US_553,Healthcare,Supply Chain Financing,Digital Payments,100M-500M,100-500
ORG_US_554,Education,Payment Processing,Employee Benefits,500M-1B,500-1000
ORG_US_555,Finance,Supply Chain Financing,Ethical Sourcing,500M-1B,100-500
ORG_US_556,Education,Business Loans,Cloud Services,50M-100M,1000-5000
ORG_US_557,Healthcare,Payment Processing,Employee Benefits,50M-100M,500-1000
ORG_US_558,Finance,Payment Processing,Ethical Sourcing,50M-100M,1000-5000
ORG_US_559,Retail,Investment Funds,Ethical Sourcing,50M-100M,1000-5000
ORG_US_560,Manufacturing,Business Loans,Employee Benefits,100M-500M,100-500
ORG_US_561,Finance,Payment Processing,Ethical Sourcing,100M-500M,500-1000
ORG_US_562,Finance,Investment Funds,Cloud Services,10M-50M,1000-5000
ORG_US_563,Healthcare,Investment Funds,Digital Payments,10M-50M,1000-5000
ORG_US_564,Manufacturing,Business Loans,Cloud Services,100M-500M,500-1000
ORG_US_565,Healthcare,Supply Chain Financing,Cloud Services,50M-100M,500-1000
ORG_US_566,IT Services,Business Loans,Cloud Services,10M-50M,500-1000
ORG_US_567,IT Services,Supply Chain Financing,Digital Payments,50M-100M,1000-5000
ORG_US_568,IT Services,Business Loans,Employee Benefits,50M-100M,100-500
ORG_US_569,Healthcare,Supply Chain Financing,Digital Payments,50M-100M,100-500
ORG_US_570,IT Services,Business Loans,Employee Benefits,10M-50M,500-1000
ORG_US_571,Retail,Investment Funds,Digital Payments,50M-100M,100-500
ORG_US_572,Real Estate,Payment Processing,Employee Benefits,50M-100M,500-1000
ORG_US_573,Manufacturing,Supply Chain Financing,Employee Benefits,500M-1B,1000-5000
ORG_US_574,Real Estate,Supply Chain Financing,Ethical Sourcing,500M-1B,100-500
ORG_US_575,Finance,Supply Chain Financing,Employee Benefits,50M-100M,500-1000
ORG_US_576,Healthcare,Supply Chain Financing,Cloud Services,100M-500M,1000-5000
ORG_US_577,Manufacturing,Payment Processing,Ethical Sourcing,50M-100M,100-500
ORG_US_578,IT Services,Investment Funds,Digital Payments,100M-500M,100-500
ORG_US_579,Retail,Investment Funds,Ethical Sourcing,50M-100M,100-500
ORG_US_580,Real Estate,Payment Processing,Digital Payments,10M-50M,100-500
ORG_US_581,Real Estate,Business Loans,Employee Benefits,100M-500M,500-1000
ORG_US_582,Finance,Investment Funds,Digital Payments,100M-500M,100-500
ORG_US_583,IT Services,Investment Funds,Digital Payments,100M-500M,500-1000
ORG_US_584,Education,Supply Chain Financing,Employee Benefits,10M-50M,1000-5000
ORG_US_585,Retail,Investment Funds,Employee Benefits,500M-1B,500-1000
ORG_US_586,IT Services,Business Loans,Cloud Services,10M-50M,100-500
ORG_US_587,Real Estate,Payment Processing,Employee Benefits,100M-500M,500-1000
ORG_US_588,IT Services,Supply Chain Financing,Cloud Services,100M-500M,500-1000
ORG_US_589,Healthcare,Business Loans,Employee Benefits,50M-100M,500-1000
ORG_US_590,Healthcare,Supply Chain Financing,Digital Payments,10M-50M,100-500
ORG_US_591,Healthcare,Supply Chain Financing,Ethical Sourcing,50M-100M,1000-5000
ORG_US_592,Finance,Payment Processing,Ethical Sourcing,50M-100M,500-1000
ORG_US_593,Retail,Supply Chain Financing,Ethical Sourcing,50M-100M,500-1000
ORG_US_594,IT Services,Supply Chain Financing,Employee Benefits,50M-100M,500-1000
ORG_US_595,Manufacturing,Payment Processing,Digital Payments,100M-500M,100-500
ORG_US_596,Retail,Business Loans,Employee Benefits,10M-50M,1000-5000
ORG_US_597,Finance,Payment Processing,Employee Benefits,10M-50M,500-1000
ORG_US_598,Real Estate,Investment Funds,Ethical Sourcing,50M-100M,1000-5000
ORG_US_599,Retail,Business Loans,Cloud Services,100M-500M,1000-5000
ORG_US_600,Retail,Supply Chain Financing,Digital Payments,50M-100M,100-500
ORG_US_601,IT Services,Business Loans,Ethical Sourcing,10M-50M,500-1000
ORG_US_602,Education,Business Loans,Digital Payments,10M-50M,500-1000
ORG_US_603,Manufacturing,Business Loans,Ethical Sourcing,10M-50M,100-500
ORG_US_604,Finance,Business Loans,Ethical Sourcing,500M-1B,500-1000
ORG_US_605,Manufacturing,Supply Chain Financing,Digital Payments,10M-50M,500-1000
ORG_US_606,Finance,Payment Processing,Employee Benefits,50M-100M,100-500
ORG_US_607,Manufacturing,Business Loans,Ethical Sourcing,100M-500M,500-1000
ORG_US_608,Real Estate,Business Loans,Ethical Sourcing,50M-100M,100-500
ORG_US_609,Education,Payment Processing,Employee Benefits,50M-100M,1000-5000
ORG_US_610,Retail,Business Loans,Cloud Services,100M-500M,100-500
ORG_US_611,Education,Investment Funds,Cloud Services,500M-1B,100-500
ORG_US_612,Retail,Business Loans,Ethical Sourcing,100M-500M,100-500
ORG_US_613,Finance,Payment Processing,Digital Payments,10M-50M,1000-5000
ORG_US_614,Manufacturing,Investment Funds,Ethical Sourcing,100M-500M,100-500
ORG_US_615,Retail,Investment Funds,Employee Benefits,500M-1B,500-1000
ORG_US_616,Education,Investment Funds,Ethical Sourcing,500M-1B,1000-5000
ORG_US_617,Manufacturing,Investment Funds,Digital Payments,10M-50M,100-500
ORG_US_618,IT Services,Supply Chain Financing,Employee Benefits,50M-100M,100-500
ORG_US_619,Education,Investment Funds,Ethical Sourcing,100M-500M,100-500
ORG_US_620,Real Estate,Supply Chain Financing,Ethical Sourcing,50M-100M,500-1000
ORG_US_621,Retail,Business Loans,Cloud Services,500M-1B,500-1000
ORG_US_622,Retail,Supply Chain Financing,Digital Payments,500M-1B,500-1000
ORG_US_623,Retail,Business Loans,Employee Benefits,50M-100M,100-500
ORG_US_624,IT Services,Business Loans,Cloud Services,100M-500M,500-1000
ORG_US_625,Healthcare,Payment Processing,Ethical Sourcing,100M-500M,500-1000
ORG_US_626,Real Estate,Payment Processing,Employee Benefits,50M-100M,500-1000
ORG_US_627,Healthcare,Investment Funds,Cloud Services,500M-1B,500-1000
ORG_US_628,Real Estate,Supply Chain Financing,Digital Payments,50M-100M,1000-5000
ORG_US_629,Finance,Business Loans,Cloud Services,100M-500M,100-500
ORG_US_630,Healthcare,Business Loans,Cloud Services,500M-1B,1000-5000
ORG_US_631,Manufacturing,Investment Funds,Cloud Services,50M-100M,1000-5000
ORG_US_632,Real Estate,Payment Processing,Employee Benefits,10M-50M,500-1000
ORG_US_633,Education,Payment Processing,Cloud Services,500M-1B,1000-5000
ORG_US_634,Real Estate,Investment Funds,Digital Payments,50M-100M,1000-5000
ORG_US_635,Real Estate,Payment Processing,Cloud Services,100M-500M,1000-5000
ORG_US_636,IT Services,Investment Funds,Ethical Sourcing,10M-50M,100-500
ORG_US_637,Real Estate,Payment Processing,Digital Payments,50M-100M,500-1000
ORG_US_638,Real Estate,Supply Chain Financing,Digital Payments,50M-100M,100-500
ORG_US_639,Healthcare,Supply Chain Financing,Employee Benefits,100M-500M,100-500
ORG_US_640,Healthcare,Investment Funds,Digital Payments,100M-500M,1000-5000
ORG_US_641,Manufacturing,Investment Funds,Ethical Sourcing,50M-100M,500-1000
ORG_US_642,IT Services,Investment Funds,Ethical Sourcing,10M-50M,100-500
ORG_US_643,Retail,Payment Processing,Digital Payments,50M-100M,500-1000
ORG_US_644,Manufacturing,Payment Processing,Ethical Sourcing,500M-1B,500-1000
ORG_US_645,Healthcare,Payment Processing,Ethical Sourcing,10M-50M,1000-5000
ORG_US_646,Finance,Supply Chain Financing,Digital Payments,100M-500M,1000-5000
ORG_US_647,Finance,Investment Funds,Cloud Services,50M-100M,500-1000
ORG_US_648,Healthcare,Payment Processing,Cloud Services,500M-1B,100-500
ORG_US_649,Manufacturing,Payment Processing,Cloud Services,500M-1B,1000-5000
ORG_US_650,Retail,Payment Processing,Ethical Sourcing,10M-50M,1000-5000
ORG_US_651,Manufacturing,Supply Chain Financing,Digital Payments,100M-500M,100-500
ORG_US_652,IT Services,Payment Processing,Ethical Sourcing,50M-100M,500-1000
ORG_US_653,Education,Payment Processing,Ethical Sourcing,50M-100M,1000-5000
ORG_US_654,Manufacturing,Payment Processing,Digital Payments,50M-100M,100-500
ORG_US_655,Manufacturing,Payment Processing,Digital Payments,500M-1B,1000-5000
ORG_US_656,Real Estate,Business Loans,Cloud Services,10M-50M,100-500
ORG_US_657,Real Estate,Supply Chain Financing,Digital Payments,500M-1B,100-500
ORG_US_658,Finance,Investment Funds,Ethical Sourcing,100M-500M,100-500
ORG_US_659,Healthcare,Payment Processing,Ethical Sourcing,50M-100M,500-1000
ORG_US_660,Real Estate,Payment Processing,Cloud Services,50M-100M,500-1000
ORG_US_661,Real Estate,Payment Processing,Employee Benefits,100M-500M,1000-5000
ORG_US_662,Education,Business Loans,Digital Payments,50M-100M,100-500
ORG_US_663,Healthcare,Payment Processing,Ethical Sourcing,50M-100M,100-500
ORG_US_664,Real Estate,Supply Chain Financing,Ethical Sourcing,100M-500M,500-1000
ORG_US_665,Finance,Investment Funds,Ethical Sourcing,50M-100M,500-1000
ORG_US_666,Manufacturing,Business Loans,Ethical Sourcing,10M-50M,100-500
ORG_US_667,IT Services,Payment Processing,Digital Payments,500M-1B,500-1000
ORG_US_668,Retail,Supply Chain Financing,Employee Benefits,50M-100M,100-500
ORG_US_669,Healthcare,Supply Chain Financing,Employee Benefits,500M-1B,500-1000
ORG_US_670,Education,Investment Funds,Digital Payments,100M-500M,500-1000
ORG_US_671,Retail,Supply Chain Financing,Cloud Services,10M-50M,1000-5000
ORG_US_672,Finance,Investment Funds,Ethical Sourcing,50M-100M,1000-5000
ORG_US_673,Manufacturing,Investment Funds,Digital Payments,500M-1B,1000-5000
ORG_US_674,Retail,Supply Chain Financing,Employee Benefits,500M-1B,100-500
ORG_US_675,Healthcare,Business Loans,Cloud Services,50M-100M,1000-5000
ORG_US_676,Healthcare,Business Loans,Digital Payments,10M-50M,100-500
ORG_US_677,Healthcare,Supply Chain Financing,Cloud Services,10M-50M,1000-5000
ORG_US_678,IT Services,Business Loans,Cloud Services,10M-50M,100-500
ORG_US_679,Real Estate,Business Loans,Ethical Sourcing,500M-1B,500-1000
ORG_US_680,Education,Payment Processing,Cloud Services,500M-1B,1000-5000
ORG_US_681,IT Services,Investment Funds,Cloud Services,50M-100M,100-500
ORG_US_682,IT Services,Payment Processing,Digital Payments,500M-1B,100-500
ORG_US_683,Healthcare,Supply Chain Financing,Cloud Services,100M-500M,500-1000
ORG_US_684,Real Estate,Investment Funds,Employee Benefits,50M-100M,500-1000
ORG_US_685,Education,Payment Processing,Cloud Services,50M-100M,1000-5000
ORG_US_686,Finance,Business Loans,Ethical Sourcing,500M-1B,1000-5000
ORG_US_687,IT Services,Supply Chain Financing,Digital Payments,50M-100M,100-500
ORG_US_688,Finance,Payment Processing,Employee Benefits,500M-1B,1000-5000
ORG_US_689,Retail,Investment Funds,Digital Payments,500M-1B,1000-5000
ORG_US_690,Manufacturing,Supply Chain Financing,Digital Payments,500M-1B,500-1000
ORG_US_691,Education,Investment Funds,Employee Benefits,10M-50M,1000-5000
ORG_US_692,Education,Business Loans,Digital Payments,10M-50M,100-500
ORG_US_693,Healthcare,Business Loans,Cloud Services,100M-500M,100-500
ORG_US_694,Education,Payment Processing,Employee Benefits,500M-1B,100-500
ORG_US_695,Real Estate,Supply Chain Financing,Digital Payments,500M-1B,1000-5000
ORG_US_696,Healthcare,Investment Funds,Employee Benefits,100M-500M,500-1000
ORG_US_697,Healthcare,Supply Chain Financing,Ethical Sourcing,10M-50M,1000-5000
ORG_US_698,Healthcare,Payment Processing,Digital Payments,50M-100M,100-500
ORG_US_699,Healthcare,Business Loans,Digital Payments,500M-1B,100-500
ORG_US_700,Retail,Investment Funds,Ethical Sourcing,50M-100M,500-1000
ORG_US_701,Manufacturing,Supply Chain Financing,Employee Benefits,100M-500M,500-1000
ORG_US_702,Finance,Investment Funds,Digital Payments,100M-500M,1000-5000
ORG_US_703,IT Services,Investment Funds,Digital Payments,100M-500M,100-500
ORG_US_704,Manufacturing,Payment Processing,Cloud Services,500M-1B,1000-5000
